model,project_id,n_train,n_test,n_pos_test,f1,roc_auc,pr_auc,ce_at_20,note
logistic_regression,org.apache:archiva,11605,844,113,0.5696969696969697,0.9615389271576092,0.8231277979299165,0.8584070796460177,
logistic_regression,org.apache:batik,11367,1082,176,0.7810945273631841,0.9712334437086092,0.8638819680430597,0.8693181818181818,
logistic_regression,org.apache:bcel,12053,396,73,0.474025974025974,0.9792612070062343,0.918594551091079,0.8356164383561644,
logistic_regression,org.apache:cayenne,11487,962,145,0.6194690265486725,0.9682775503313215,0.8429815236594758,0.8896551724137931,
logistic_regression,org.apache:cocoon,10329,2120,464,0.6206896551724138,0.9454022988505748,0.8456599431316973,0.6745689655172413,
logistic_regression,org.apache:codec,12404,45,9,0.45,0.9783950617283951,0.9380952380952383,0.7777777777777778,
logistic_regression,org.apache:commons-cli,12386,63,12,0.6,0.9836601307189542,0.9573412698412699,0.9166666666666666,
logistic_regression,org.apache:commons-fileupload,12424,25,6,0.7142857142857143,0.9210526315789475,0.8284090909090909,0.6666666666666666,
logistic_regression,org.apache:commons-jelly,12290,159,14,0.7222222222222222,0.9738916256157636,0.8993220962124902,0.9285714285714286,
logistic_regression,org.apache:commons-jexl,12348,101,19,0.72,0.9306803594351734,0.7424892973537687,0.7368421052631579,
logistic_regression,org.apache:configuration,12274,175,32,0.8405797101449275,0.9792395104895104,0.852898619392006,0.90625,
logistic_regression,org.apache:daemon,12439,10,4,,,,,training_only
logistic_regression,org.apache:dbcp,12395,54,14,0.717948717948718,0.9178571428571429,0.7706628894590166,0.5714285714285714,
logistic_regression,org.apache:digester,12300,149,26,0.8727272727272727,0.9849906191369606,0.934923912739477,0.9230769230769231,
logistic_regression,org.apache:felix,10365,2084,365,0.7174139728884255,0.967735303258505,0.8839643037414482,0.8575342465753425,
logistic_regression,org.apache:hive,9653,2796,400,0.6806136680613668,0.935041736227045,0.7759475732224758,0.785,
logistic_regression,org.apache:httpclient,12096,353,43,0.7586206896551724,0.9704426106526631,0.8541388282734332,0.9302325581395349,
logistic_regression,org.apache:httpcore,12088,361,97,0.6490066225165563,0.9466963448922212,0.8558295038887657,0.6185567010309279,
logistic_regression,org.apache:net,12266,183,25,0.3898305084745763,0.9339240506329114,0.7975936228433465,0.84,
logistic_regression,org.apache:thrift,12394,55,10,0.6896551724137931,0.971111111111111,0.9136752136752136,0.8,
logistic_regression,org.apache:vfs,12187,262,44,0.6466165413533834,0.9682026688907424,0.8847305935889975,0.8636363636363636,
logistic_regression,org.apache:zookeeper,12279,170,35,0.75,0.977989417989418,0.9303263916038951,0.8285714285714286,
random_forest,org.apache:archiva,11605,844,113,0.8088888888888889,0.9811629117586529,0.8982066045055335,0.9292035398230089,
random_forest,org.apache:batik,11367,1082,176,0.79375,0.9827914910696367,0.9229465883845153,0.9318181818181818,
random_forest,org.apache:bcel,12053,396,73,0.8235294117647058,0.9821875397599558,0.9286022673128957,0.9041095890410958,
random_forest,org.apache:cayenne,11487,962,145,0.8045977011494253,0.9847971974844891,0.9249434709135467,0.9310344827586207,
random_forest,org.apache:cocoon,10329,2120,464,0.5914718019257221,0.9336972138930535,0.8042082681603513,0.6681034482758621,
random_forest,org.apache:codec,12404,45,9,0.782608695652174,0.962962962962963,0.8808080808080809,0.6666666666666666,
random_forest,org.apache:commons-cli,12386,63,12,0.7333333333333333,0.954248366013072,0.8563849277084571,0.75,
random_forest,org.apache:commons-fileupload,12424,25,6,0.8,0.9912280701754387,0.9761904761904762,0.8333333333333334,
